Nathan Mensah,CHA,26,25,307,2.2,5.7,3,0,1.1,12.3
Nick Richards,CHA,26,67,1759,1.6,5.9,1,0.2,0,8.9
Nick Smith Jr.,CHA,20,51,729,0.2,0.4,0.7,0.1,0.1,4.5
Seth Curry,CHA,33,44,615,0.4,0.6,2.5,0.5,0.1,3.4
Tre Mann,CHA,23,41,987,0.3,0.4,3.2,0.4,0,4.1
Vasilije Micić,CHA,30,60,1176,0.3,0.7,2.1,0.5,0.1,1.6
Adama Sanogo,CHI,22,9,66,2.7,5.5,1.1,0,0,7.6
Alex Caruso,CHI,30,71,2040,0.5,0.7,4.7,0.7,0.2,6.3
Andre Drummond,CHI,30,79,1351,1.2,4.4,3.3,0.5,0.1,9.6
Andrew Funk,CHI,24,5,13,2.8,0,2.8,0,0,2.8
Ayo Dosunmu,CHI,24,76,2212,0.3,0.2,1.6,0.6,0,6.2
Coby White,CHI,24,79,2881,0.2,0.4,1.1,0.5,0.1,6.1
Dalen Terry,CHI,21,59,681,0.6,0.4,2.9,0.5,0.1,6.3
DeMar DeRozan,CHI,34,79,2989,0.6,0.2,1.7,0.3,0.1,3.9
Henri Drell,CHI,24,4,30,1.2,1.2,3.6,0,0,7.2
Javonte Green,CHI,30,9,230,1.6,0.8,3.9,0.6,0,4.4
Jevon Carter,CHI,28,72,1004,0.3,0.4,3.2,0.4,0.1,4
Julian Phillips,CHI,20,40,323,0.6,0,2.3,0.2,0.2,5
Nikola Vučević,CHI,33,76,2610,1.6,4.4,1.9,0.2,0,8.6
Onuralp Bitim,CHI,25,23,268,0.8,0,1.2,0.3,0,5.9
Patrick Williams,CHI,22,43,1174,1.2,0.6,2.3,0.2,0.1,6.2
Terry Taylor,CHI,24,31,188,1,3.1,1.9,0.2,0,7.5
Torrey Craig,CHI,33,53,1049,0.7,0.9,2.3,0.6,0,7.3
Zach LaVine,CHI,29,25,872,0.1,0.4,1.7,0.2,0,5.3
Caris LeVert,CLE,29,68,1958,0.4,0.3,2.7,0.4,0,4.8
Craig Porter Jr.,CLE,24,51,649,0.3,0.1,2.2,0.3,0,6
Damian Jones,CLE,29,39,270,1.6,2.9,1.2,0.1,0,10.4
Darius Garland,CLE,24,57,1900,0.3,0.3,2.2,0.5,0.1,2.9
Dean Wade,CLE,27,54,1108,1.6,0.7,2.6,0.4,0,7.1
Donovan Mitchell,CLE,27,55,1943,0.5,0.1,3.1,0.6,0,3
Emoni Bates,CLE,20,15,133,0.3,0,1.4,0.3,0,5.1
Evan Mobley,CLE,23,50,1532,1.8,2.5,2.6,0.4,0,12.1
Georges Niang,CLE,31,82,1831,1.2,1.4,1.4,0.3,0.1,6
Isaac Okoro,CLE,23,69,1887,0.7,0.5,2,0.3,0.1,5.4
Isaiah Mobley,CLE,24,10,72,1.5,0,2.5,0,0,9
Jarrett Allen,CLE,26,77,2442,2,4.6,1.8,0.3,0,10.9
Marcus Morris Sr.,CLE,34,49,817,1,1,1.1,0.2,0,3.4
Max Strus,CLE,28,70,2239,0.4,0.9,1.9,0.4,0.1,5.5
Pete Nance,CLE,24,8,27,2.7,0,1.3,1.3,0,2.7
Sam Merrill,CLE,28,61,1069,0.7,0.5,1.3,0.4,0.5,4.2
Tristan Thompson,CLE,33,49,549,2.6,5.7,1.8,0.4,0,10.5
Ty Jerome,CLE,26,2,15,0,0,2.4,0,0,4.8
A.J. Lawson,DAL,23,42,311,0.6,0.9,1.4,0.6,0,4.6
Alex Fudge,DAL,21,6,40,0,0,2.7,2.7,0,6.3
Brandon Williams,DAL,24,17,113,0,0.3,1.6,0.3,0,5.7
Daniel Gafford,DAL,25,74,1814,2.4,5.5,2.3,0.5,0.1,13
Danté Exum,DAL,28,55,1088,0.2,1.2,1.6,0.4,0.1,3.9
Dereck Lively II,DAL,20,55,1294,1.4,4.3,1.9,0.4,0,14.6
